
-------Start
Simulation.__init__()                        t:[.0]      m:[1001/s]   mi:[1001/s]
PHISICS.__init__()                           t:[.0]      m:[1000/s]   mi:[1000/s]
VISUALS.__init__()                           t:[.0]      m:[1500/s]   mi:[1500/s]
VISUALS.change_font_size()                   t:[.35]     m:[2/s]      mi:[2/s]
CONTROLLS.__init__()                         t:[.36]     m:[2/s]      mi:[2/s]
Simulation.setup()                           t:[.36]     m:[3/s]      mi:[3/s]
CONTROLLS.setup_controlls()                  t:[.36]     m:[3/s]      mi:[3/s]
CONTROLLS.setup_key()                        t:[.36]     m:[4/s]      mi:[4/s]
CONTROLLS.setup_key()                        t:[.36]     m:[4/s]      mi:[4/s]
CONTROLLS.setup_key()                        t:[.36]     m:[5/s]      mi:[5/s]
CONTROLLS.setup_key()                        t:[.36]     m:[6/s]      mi:[6/s]
CONTROLLS.setup_key()                        t:[.36]     m:[6/s]      mi:[6/s]
CONTROLLS.setup_key()                        t:[.36]     m:[7/s]      mi:[7/s]
CONTROLLS.setup_key()                        t:[.36]     m:[7/s]      mi:[7/s]
CONTROLLS.setup_key()                        t:[.36]     m:[8/s]      mi:[8/s]
CONTROLLS.setup_key()                        t:[.36]     m:[8/s]      mi:[8/s]
CONTROLLS.setup_key()                        t:[.36]     m:[9/s]      mi:[9/s]
Simulation.load([1])                         t:[.36]     m:[9/s]      mi:[9/s]
PHISICS.add_objects()                        t:[.36]     m:[10/s]     mi:[10/s]
PHISICS.setup_objects([[{'visual': {'layer': 1, 'color': [150, 1, 1], 'visible': True, 'body': {'x': 5, 'y': 5, 'h': 100, 'w': 100, 'color': False}}, 'collider': {'mass': 1, 'static': True, 'body': {'x': 0, 'y': 0, 'w': 0, 'h': 0}}}, {'visual': {'layer': 1, 'color': [150, 1, 1], 'visible': True, 'body': {'x': 600, 'y': 5, 'h': 100, 'w': 100, 'color': False}}, 'collider': {'mass': 1, 'static': True, 'body': {'x': 0, 'y': 0, 'w': 0, 'h': 0}}}]]) t:[.36]     m:[11/s]     mi:[11/s]
PHISICS.create_object([{'visual': {'layer': 1, 'color': [150, 1, 1], 'visible': True, 'body': {'x': 5, 'y': 5, 'h': 100, 'w': 100, 'color': False}}, 'collider': {'mass': 1, 'static': True, 'body': {'x': 0, 'y': 0, 'w': 0, 'h': 0}}}]) t:[.36]     m:[11/s]     mi:[11/s]
PHISICS.setup_collider()                     t:[.36]     m:[12/s]     mi:[12/s]
PHISICS.setup_rect_body()                    t:[.36]     m:[12/s]     mi:[12/s]
PHISICS.add_object([{'visual': {'layer': 1, 'color': [150, 1, 1], 'visible': True, 'body': {'x': 5, 'y': 5, 'h': 100, 'w': 100, 'color': False}}, 'collider': {'mass': 1, 'static': True, 'body': {'x': 0, 'y': 0, 'w': 0, 'h': 0, 'vectors': [[0, 0], [0, 0], [0, 0], [0, 0]]}}}]) t:[.36]     m:[13/s]     mi:[13/s]
PHISICS.create_object([{'visual': {'layer': 1, 'color': [150, 1, 1], 'visible': True, 'body': {'x': 600, 'y': 5, 'h': 100, 'w': 100, 'color': False}}, 'collider': {'mass': 1, 'static': True, 'body': {'x': 0, 'y': 0, 'w': 0, 'h': 0}}}]) t:[.36]     m:[13/s]     mi:[13/s]
PHISICS.setup_collider()                     t:[.36]     m:[14/s]     mi:[14/s]
PHISICS.setup_rect_body()                    t:[.36]     m:[14/s]     mi:[14/s]
PHISICS.add_object([{'visual': {'layer': 1, 'color': [150, 1, 1], 'visible': True, 'body': {'x': 600, 'y': 5, 'h': 100, 'w': 100, 'color': False}}, 'collider': {'mass': 1, 'static': True, 'body': {'x': 0, 'y': 0, 'w': 0, 'h': 0, 'vectors': [[0, 0], [0, 0], [0, 0], [0, 0]]}}}]) t:[.36]     m:[15/s]     mi:[15/s]
Simulation.start()                           t:[.36]     m:[16/s]     mi:[16/s]
Simulation.reload()                          t:[.36]     m:[16/s]     mi:[16/s]
CONTROLLS.handle_events()                    t:[.36]     m:[17/s]     mi:[17/s]
VISUALS.reload()                             t:[.36]     m:[17/s]     mi:[17/s]
VISUALS.get_actions()                        t:[.36]     m:[18/s]     mi:[18/s]
VISUALS.clear_screen()                       t:[.36]     m:[18/s]     mi:[18/s]
VISUALS.draw_objects()                       t:[.36]     m:[19/s]     mi:[19/s]
VISUALS.show_message()                       t:[.36]     m:[19/s]     mi:[19/s]
VISUALS.draw_object()                        t:[.36]     m:[20/s]     mi:[20/s]
VISUALS.draw_rect()                          t:[.36]     m:[21/s]     mi:[21/s]
VISUALS.draw_object()                        t:[.36]     m:[21/s]     mi:[21/s]
VISUALS.draw_rect()                          t:[.36]     m:[22/s]     mi:[22/s]
VISUALS.info()                               t:[.36]     m:[22/s]     mi:[22/s]
VISUALS.update_screen()                      t:[.36]     m:[23/s]     mi:[23/s]

-------Reload
Simulation.main()                            t:[.36]     m:[23/s]     mi:[23/s]
Simulation.reload()                          t:[.36]     m:[24/s]     mi:[24/s]
CONTROLLS.handle_events()                    t:[.36]     m:[24/s]     mi:[24/s]
CONTROLLS.switch_debug()                     t:[.36]     m:[25/s]     mi:[25/s]
VISUALS.reload()                             t:[.36]     m:[25/s]     mi:[25/s]
VISUALS.get_actions()                        t:[.36]     m:[26/s]     mi:[26/s]
VISUALS.clear_screen()                       t:[.36]     m:[27/s]     mi:[27/s]
VISUALS.draw_objects()                       t:[.36]     m:[27/s]     mi:[27/s]
VISUALS.show_message()                       t:[.36]     m:[28/s]     mi:[28/s]
VISUALS.draw_object()                        t:[.36]     m:[28/s]     mi:[28/s]
VISUALS.draw_rect()                          t:[.36]     m:[29/s]     mi:[29/s]
VISUALS.show_message()                       t:[.36]     m:[29/s]     mi:[29/s]
VISUALS.draw_object()                        t:[.36]     m:[30/s]     mi:[30/s]
VISUALS.draw_rect()                          t:[.36]     m:[30/s]     mi:[30/s]
